time;air_temperature
2025-02-19 00:00:00+00:00;-9.816666666666666
2025-02-19 01:00:00+00:00;-10.200000000000001
2025-02-19 02:00:00+00:00;-10.65
2025-02-19 03:00:00+00:00;-11.133333333333333
2025-02-19 04:00:00+00:00;-11.233333333333334
2025-02-19 05:00:00+00:00;-11.3
2025-02-19 06:00:00+00:00;-11.58
2025-02-19 07:00:00+00:00;-11.516666666666666
2025-02-19 08:00:00+00:00;-9.299999999999999
2025-02-19 09:00:00+00:00;-4.5
2025-02-19 10:00:00+00:00;-2.1
2025-02-19 11:00:00+00:00;-1.1666666666666667
2025-02-19 12:00:00+00:00;0.0
2025-02-19 13:00:00+00:00;0.5499999999999999
2025-02-19 14:00:00+00:00;0.5333333333333333
2025-02-19 15:00:00+00:00;0.1
2025-02-19 16:00:00+00:00;-1.2
2025-02-19 17:00:00+00:00;-2.6666666666666665
2025-02-19 18:00:00+00:00;-4.0
2025-02-19 19:00:00+00:00;-3.9166666666666665
2025-02-19 20:00:00+00:00;-2.9166666666666665
2025-02-19 21:00:00+00:00;-2.85
2025-02-19 22:00:00+00:00;-3.25
2025-02-19 23:00:00+00:00;-3.1666666666666665
2025-02-20 00:00:00+00:00;-3.016666666666667
2025-02-20 01:00:00+00:00;-2.65
2025-02-20 02:00:00+00:00;-2.1166666666666667
2025-02-20 03:00:00+00:00;-1.9000000000000001
2025-02-20 04:00:00+00:00;-1.0666666666666667
2025-02-20 05:00:00+00:00;0.01666666666666669
2025-02-20 06:00:00+00:00;-0.19999999999999998
2025-02-20 07:00:00+00:00;-0.06666666666666667
2025-02-20 08:00:00+00:00;-0.05000000000000001
2025-02-20 09:00:00+00:00;-0.0833333333333333
2025-02-20 10:00:00+00:00;0.2833333333333333
2025-02-20 11:00:00+00:00;0.6333333333333333
2025-02-20 12:00:00+00:00;1.0
2025-02-20 13:00:00+00:00;1.3166666666666667
2025-02-20 14:00:00+00:00;1.2833333333333334
2025-02-20 15:00:00+00:00;1.5833333333333333
2025-02-20 16:00:00+00:00;1.3333333333333333
2025-02-20 17:00:00+00:00;1.2166666666666666
2025-02-20 18:00:00+00:00;1.3833333333333335
2025-02-20 19:00:00+00:00;1.4000000000000001
2025-02-20 20:00:00+00:00;1.0666666666666667
2025-02-20 21:00:00+00:00;0.36
2025-02-20 22:00:00+00:00;-0.48333333333333334
2025-02-20 23:00:00+00:00;-1.1333333333333335
2025-02-21 00:00:00+00:00;-1.3499999999999999
2025-02-21 01:00:00+00:00;-0.9833333333333334
2025-02-21 02:00:00+00:00;0.08333333333333333
2025-02-21 03:00:00+00:00;0.48333333333333334
2025-02-21 04:00:00+00:00;1.5666666666666667
2025-02-21 05:00:00+00:00;2.25
2025-02-21 06:00:00+00:00;2.516666666666667
2025-02-21 07:00:00+00:00;2.8666666666666667
2025-02-21 08:00:00+00:00;2.983333333333333
2025-02-21 09:00:00+00:00;3.4
2025-02-21 10:00:00+00:00;3.6333333333333333
2025-02-21 11:00:00+00:00;3.8000000000000003
2025-02-21 12:00:00+00:00;3.9166666666666665
2025-02-21 13:00:00+00:00;4.05
2025-02-21 14:00:00+00:00;4.133333333333334
2025-02-21 15:00:00+00:00;3.8666666666666667
2025-02-21 16:00:00+00:00;3.6166666666666667
2025-02-21 17:00:00+00:00;3.4499999999999997
2025-02-21 18:00:00+00:00;3.25
2025-02-21 19:00:00+00:00;2.8333333333333335
2025-02-21 20:00:00+00:00;2.65
2025-02-21 21:00:00+00:00;2.1666666666666665
2025-02-21 22:00:00+00:00;1.9166666666666667
2025-02-21 23:00:00+00:00;1.9333333333333333
