Table 1,,,,,,,,,,,,
unit_id,,,Name,Link,Energy,Temperature,Volume water,Co2,Heating degree,Cost,Peak High,ZoneCost
,,200800meter,Varme aggregat 36.02 Kino,https://www.energinet.net/api/unit/200800meter,https://www.energinet.net/api/unitdata/200800meter1,https://www.energinet.net/api/unitdata/200800meter2,https://www.energinet.net/api/unitdata/200800meter3,https://www.energinet.net/api/unitdata/200800meter7,https://www.energinet.net/api/unitdata/200800meter8,https://www.energinet.net/api/unitdata/200800meter9,https://www.energinet.net/api/unitdata/200800meter11,https://www.energinet.net/api/unitdata/200800meter47
,,201597meter,85228197 Fjernkjøling Kvartal 13-14,https://www.energinet.net/api/unit/201597meter,https://www.energinet.net/api/unitdata/201597meter1,https://www.energinet.net/api/unitdata/201597meter2,https://www.energinet.net/api/unitdata/201597meter3,https://www.energinet.net/api/unitdata/201597meter7,https://www.energinet.net/api/unitdata/201597meter8,https://www.energinet.net/api/unitdata/201597meter9,https://www.energinet.net/api/unitdata/201597meter11,https://www.energinet.net/api/unitdata/201597meter47
,,206596meter,Varme radiatorer hotell/Egon,https://www.energinet.net/api/unit/206596meter,https://www.energinet.net/api/unitdata/206596meter1,https://www.energinet.net/api/unitdata/206596meter2,https://www.energinet.net/api/unitdata/206596meter3,https://www.energinet.net/api/unitdata/206596meter7,https://www.energinet.net/api/unitdata/206596meter8,https://www.energinet.net/api/unitdata/206596meter9,https://www.energinet.net/api/unitdata/206596meter11,https://www.energinet.net/api/unitdata/206596meter47
,,206597meter,Varme luftporter KV13-14 (beregnet diff),https://www.energinet.net/api/unit/206597meter,https://www.energinet.net/api/unitdata/206597meter1,https://www.energinet.net/api/unitdata/206597meter2,https://www.energinet.net/api/unitdata/206597meter3,https://www.energinet.net/api/unitdata/206597meter7,https://www.energinet.net/api/unitdata/206597meter8,https://www.energinet.net/api/unitdata/206597meter9,https://www.energinet.net/api/unitdata/206597meter11,https://www.energinet.net/api/unitdata/206597meter47
,35636eb,,Ski Storsenter Kvartal 17,https://www.energinet.net/api/unit/35636eb,https://www.energinet.net/api/unitdata/35636eb1,https://www.energinet.net/api/unitdata/35636eb2,https://www.energinet.net/api/unitdata/35636eb3,https://www.energinet.net/api/unitdata/35636eb7,https://www.energinet.net/api/unitdata/35636eb8,https://www.energinet.net/api/unitdata/35636eb9,https://www.energinet.net/api/unitdata/35636eb11,https://www.energinet.net/api/unitdata/35636eb47
,99860eb,,Ski Storsenter Vann,https://www.energinet.net/api/unit/99860eb,https://www.energinet.net/api/unitdata/99860eb1,https://www.energinet.net/api/unitdata/99860eb2,https://www.energinet.net/api/unitdata/99860eb3,https://www.energinet.net/api/unitdata/99860eb7,https://www.energinet.net/api/unitdata/99860eb8,https://www.energinet.net/api/unitdata/99860eb9,https://www.energinet.net/api/unitdata/99860eb11,https://www.energinet.net/api/unitdata/99860eb47
,39688eb,,Sum leietakere,https://www.energinet.net/api/unit/39688eb,https://www.energinet.net/api/unitdata/39688eb1,https://www.energinet.net/api/unitdata/39688eb2,https://www.energinet.net/api/unitdata/39688eb3,https://www.energinet.net/api/unitdata/39688eb7,https://www.energinet.net/api/unitdata/39688eb8,https://www.energinet.net/api/unitdata/39688eb9,https://www.energinet.net/api/unitdata/39688eb11,https://www.energinet.net/api/unitdata/39688eb47
,71591eb,,x_Kjøling kv 17,https://www.energinet.net/api/unit/71591eb,https://www.energinet.net/api/unitdata/71591eb1,https://www.energinet.net/api/unitdata/71591eb2,https://www.energinet.net/api/unitdata/71591eb3,https://www.energinet.net/api/unitdata/71591eb7,https://www.energinet.net/api/unitdata/71591eb8,https://www.energinet.net/api/unitdata/71591eb9,https://www.energinet.net/api/unitdata/71591eb11,https://www.energinet.net/api/unitdata/71591eb47
,97936eb,,zx_Kalkulasjonsmåler,https://www.energinet.net/api/unit/97936eb,https://www.energinet.net/api/unitdata/97936eb1,https://www.energinet.net/api/unitdata/97936eb2,https://www.energinet.net/api/unitdata/97936eb3,https://www.energinet.net/api/unitdata/97936eb7,https://www.energinet.net/api/unitdata/97936eb8,https://www.energinet.net/api/unitdata/97936eb9,https://www.energinet.net/api/unitdata/97936eb11,https://www.energinet.net/api/unitdata/97936eb47
,39517eb,,z_Hovedmålere,https://www.energinet.net/api/unit/39517eb,https://www.energinet.net/api/unitdata/39517eb1,https://www.energinet.net/api/unitdata/39517eb2,https://www.energinet.net/api/unitdata/39517eb3,https://www.energinet.net/api/unitdata/39517eb7,https://www.energinet.net/api/unitdata/39517eb8,https://www.energinet.net/api/unitdata/39517eb9,https://www.energinet.net/api/unitdata/39517eb11,https://www.energinet.net/api/unitdata/39517eb47
,83176eb,,z_Kjøling kvartal 13-14,https://www.energinet.net/api/unit/83176eb,https://www.energinet.net/api/unitdata/83176eb1,https://www.energinet.net/api/unitdata/83176eb2,https://www.energinet.net/api/unitdata/83176eb3,https://www.energinet.net/api/unitdata/83176eb7,https://www.energinet.net/api/unitdata/83176eb8,https://www.energinet.net/api/unitdata/83176eb9,https://www.energinet.net/api/unitdata/83176eb11,https://www.energinet.net/api/unitdata/83176eb47
,42886eb,,z_Sameiet Ski Amfi,https://www.energinet.net/api/unit/42886eb,https://www.energinet.net/api/unitdata/42886eb1,https://www.energinet.net/api/unitdata/42886eb2,https://www.energinet.net/api/unitdata/42886eb3,https://www.energinet.net/api/unitdata/42886eb7,https://www.energinet.net/api/unitdata/42886eb8,https://www.energinet.net/api/unitdata/42886eb9,https://www.energinet.net/api/unitdata/42886eb11,https://www.energinet.net/api/unitdata/42886eb47
,79711eb,,z_varme tot. (eks. snøsmelt),https://www.energinet.net/api/unit/79711eb,https://www.energinet.net/api/unitdata/79711eb1,https://www.energinet.net/api/unitdata/79711eb2,https://www.energinet.net/api/unitdata/79711eb3,https://www.energinet.net/api/unitdata/79711eb7,https://www.energinet.net/api/unitdata/79711eb8,https://www.energinet.net/api/unitdata/79711eb9,https://www.energinet.net/api/unitdata/79711eb11,https://www.energinet.net/api/unitdata/79711eb47
,81410eb,,z_varme vent,https://www.energinet.net/api/unit/81410eb,https://www.energinet.net/api/unitdata/81410eb1,https://www.energinet.net/api/unitdata/81410eb2,https://www.energinet.net/api/unitdata/81410eb3,https://www.energinet.net/api/unitdata/81410eb7,https://www.energinet.net/api/unitdata/81410eb8,https://www.energinet.net/api/unitdata/81410eb9,https://www.energinet.net/api/unitdata/81410eb11,https://www.energinet.net/api/unitdata/81410eb47
,94795eb,,z_varmebatteri 360.01-05,https://www.energinet.net/api/unit/94795eb,https://www.energinet.net/api/unitdata/94795eb1,https://www.energinet.net/api/unitdata/94795eb2,https://www.energinet.net/api/unitdata/94795eb3,https://www.energinet.net/api/unitdata/94795eb7,https://www.energinet.net/api/unitdata/94795eb8,https://www.energinet.net/api/unitdata/94795eb9,https://www.energinet.net/api/unitdata/94795eb11,https://www.energinet.net/api/unitdata/94795eb47
